world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
68,Heidelberg University,Germany,57.8,61.3,44.8,76,59.2,28881,24.5,17%,2014
69,Delft University of Technology,Netherlands,55.8,74.2,67.3,47.2,59.1,15920,19.4,25%,2014
70,University of Southern California,United States,58.7,43.4,43.2,81.2,59,36534,12.9,20%,2014
71,École Polytechnique,France,46.3,86.1,40.5,82.3,59,2429,4.8,30%,2014
72,University of Sydney,Australia,47.4,84.8,55.4,66.6,58.8,41868,20.2,28%,2014
73,Erasmus University Rotterdam,Netherlands,37.8,66.6,53.3,81.2,58.1,20580,18.9,18%,2014
74,University of Basel,Switzerland,39.1,91.1,41,81.4,57.7,12551,17.3,24%,2014
75,Utrecht University,Netherlands,36.3,49.2,54.7,82,57.7,30779,15.4,7%,2014
76,Nanyang Technological University,Singapore,37.7,91,54.3,67.5,57.2,25028,16.2,33%,2014
77,Wageningen University and Research Center,Netherlands,43.1,78.3,44.3,74.1,56.8,9248,17,21%,2014
78,University of Pittsburgh,United States,48.6,29.4,45.4,84.4,56.7,26485,5.8,10%,2014
79,University of Bristol,United Kingdom,39.6,75,41.2,84.9,56.3,17906,14,25%,2014
80,Durham University,United Kingdom,38.3,76.8,38.3,88.2,56.1,15489,15.7,24%,2014
81,Emory University,United States,50.4,42.4,31.6,90.8,56.1,12338,4.5,18%,2014
82,Tufts University,United States,46.7,43.4,32.1,93.9,56.1,10410,10,14%,2014
83,Michigan State University,United States,50,52.6,49.1,71.5,55.9,44750,15.7,15%,2014
84,University of Amsterdam,Netherlands,38.3,58.3,54.1,75,55.9,24570,14.4,11%,2014
85,Ghent University,Belgium,41,49.5,48.9,74.9,55.5,32166,34.1,9%,2014
86,Free University of Berlin,Germany,43.8,58.7,58,64.8,55.3,33062,39.3,20%,2014
87,Technical University of Munich,Germany,48.2,63.1,35.2,80.7,55.2,35565,31.5,20%,2014
88,Case Western Reserve University,United States,51,35.4,38.6,82.8,55,9259,6.4,17%,2014
89,Vanderbilt University,United States,46.8,28.6,38.7,86.5,55,12161,3.6,10%,2014
90,University of Notre Dame,United States,41.2,47.5,34.7,91.8,54.7,11829,13.8,10%,2014
91,Monash University,Australia,42.5,78.3,48.9,65.4,54.6,50882,40.5,36%,2014
92,McMaster University,Canada,35.3,68,42.7,79.4,54.5,23823,19.3,15%,2014
93,"University of California, Irvine",United States,37.1,36.4,40.8,89.7,54.1,26614,16.1,16%,2014
94,Humboldt University of Berlin,Germany,45.6,54.4,48.7,68.4,53.8,29987,52.5,16%,2014
95,University of Rochester,United States,42.8,50.7,29.9,89.7,53.6,9390,4.5,26%,2014
96,Pierre and Marie Curie University,France,50.2,65.5,26.7,82.3,53.5,27862,8.7,18%,2014
97,University of Colorado Boulder,United States,34.2,40.5,33.3,97.3,53.4,29325,16.1,8%,2014
98,Maastricht University,Netherlands,33.1,89.1,47.1,65.8,52.9,15626,18.9,48%,2014
99,University of Groningen,Netherlands,36,53,48.6,71.1,52.9,24556,25.6,12%,2014
100,University of Helsinki,Finland,35.5,51.3,46.5,77.8,52.6,23505,15.1,6%,2014
