world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
1,Harvard University,United States,99.7,72.4,98.7,98.8,96.1,20152,8.9,25%,2011
2,California Institute of Technology,United States,97.7,54.6,98,99.9,96,2243,6.9,27%,2011
3,Massachusetts Institute of Technology,United States,97.8,82.3,91.4,99.9,95.6,11074,9,33%,2011
4,Stanford University,United States,98.3,29.5,98.1,99.2,94.3,15596,7.8,22%,2011
5,Princeton University,United States,90.9,70.3,95.4,99.9,94.2,7929,8.4,27%,2011
6,University of Cambridge,United Kingdom,90.5,77.7,94.1,94,91.2,18812,11.8,34%,2011
6,University of Oxford,United Kingdom,88.2,77.2,93.9,95.1,91.2,19919,11.6,34%,2011
8,"University of California, Berkeley",United States,84.2,39.6,99.3,97.8,91.1,36186,16.4,15%,2011
9,Imperial College London,United Kingdom,89.2,90,94.5,88.3,90.6,15060,11.7,51%,2011
10,Yale University,United States,92.1,59.2,89.7,91.5,89.5,11751,4.4,20%,2011
11,"University of California, Los Angeles",United States,83,48.1,92.9,93.2,87.7,38206,10.3,15%,2011
12,University of Chicago,United States,79.1,62.8,87.9,96.9,86.9,14221,6.9,21%,2011
13,Johns Hopkins University,United States,80.9,58.5,89.2,92.3,86.4,15128,3.6,23%,2011
14,Cornell University,United States,82.2,62.4,88.8,88.1,83.9,21424,10.2,19%,2011
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.5,93.7,87.8,83.1,83.4,18178,14.7,37%,2011
15,University of Michigan,United States,83.9,53.3,89.1,84.1,83.4,41786,9,16%,2011
17,University of Toronto,Canada,75.8,-,87.9,82.2,82,66198,19.5,15%,2011
18,Columbia University,United States,73.8,90.9,73.8,92.6,81,25055,5.9,28%,2011
19,University of Pennsylvania,United States,71.8,32.9,82.7,93.6,79.5,20376,6.5,20%,2011
20,Carnegie Mellon University,United States,70.3,39.1,79.3,95.7,79.3,11885,13.1,35%,2011
21,University of Hong Kong,Hong Kong,68.4,91.4,71.4,96.1,79.2,19835,17.6,38%,2011
22,University College London,United Kingdom,74,90.8,81.6,80.6,78.4,26607,10.7,46%,2011
23,University of Washington,United States,68.2,49,77.1,95.9,78,44020,11.8,13%,2011
24,Duke University,United States,66.8,49.4,71.5,92.3,76.5,15172,4.8,17%,2011
25,Northwestern University,United States,64.5,60.5,68.8,95.3,75.9,18334,13.8,15%,2011
26,University of Tokyo,Japan,87.7,18.4,91.9,58.1,75.6,26199,5.7,10%,2011
27,Georgia Institute of Technology,United States,67.9,73.2,72.6,83.2,75.3,19967,20.1,26%,2011
28,Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,75.1,3055,10.1,4%,2011
29,"University of California, Santa Barbara",United States,56.6,64.3,68,98.8,75,22020,27.3,11%,2011
30,University of British Columbia,Canada,65.1,93.3,74.8,80.3,73.8,50152,17.6,25%,2011
30,University of North Carolina at Chapel Hill,United States,70.9,21.5,75.1,85,73.8,26518,7.3,8%,2011
32,"University of California, San Diego",United States,59.8,31.6,76.3,90.8,73.2,27233,6.5,11%,2011
33,University of Illinois at Urbana-Champaign,United States,68.1,55.9,80.9,72.9,73,42727,18.7,20%,2011
34,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,72.9,31592,15.5,34%,2011
35,McGill University,Canada,69,85.9,74.9,69,71.7,31326,13.7,23%,2011
36,University of Melbourne,Australia,58.7,88,69.2,83.3,71,40128,23.7,35%,2011
37,Peking University,China,76.4,68.6,61.3,72.2,70.7,40148,8.3,14%,2011
38,Washington University in St Louis,United States,58.9,56.4,63,88.6,69.9,12528,5.7,17%,2011
39,École Polytechnique,France,57.9,77.9,56.1,91.4,69.5,2429,4.8,30%,2011
40,University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,69.2,25774,14.1,36%,2011
41,Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,69,11385,23.8,36%,2011
42,École Normale Supérieure,France,66.8,44.9,48.2,95.7,68.6,2400,7.9,20%,2011
43,Australian National University,Australia,51.9,93.9,62.4,81,67,14604,19.2,35%,2011
43,Karolinska Institute,Sweden,65.8,-,72.7,62.3,67,7774,11.5,22%,2011
43,University of Göttingen,Germany,57.3,44.5,55.9,92.5,67,25581,25.6,12%,2011
43,University of Wisconsin,United States,55.5,43.7,64.6,83.4,67,9000,17,17%,2011
47,Rice University,United States,57.4,31.2,50.6,99.1,66.9,6333,9,26%,2011
48,École Polytechnique Fédérale de Lausanne,Switzerland,55,100,56.1,83.8,66.5,9666,10.5,54%,2011
49,"University of California, Irvine",United States,49.4,66.3,54.7,91.6,66,26614,16.1,16%,2011
49,University of Science and Technology of China,China,57.5,-,48.6,92.7,66,14290,7.9,2%,2011
51,Vanderbilt University,United States,64.9,22.1,59.5,78.1,65.9,12161,3.6,10%,2011
52,University of Minnesota,United States,57.6,23,69.1,76.4,65.6,46825,18,13%,2011
53,Tufts University,United States,64.1,28.3,52.3,83.9,65.2,10410,10,14%,2011
54,"University of California, Davis",United States,57.3,60.5,70.7,68.8,65,35364,13.9,13%,2011
55,Brown University,United States,59.7,60.5,57,77.7,64.9,8653,10.1,19%,2011
