world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
86,University of Arizona,United States,44.9,38.8,51.4,74,56.5,36429,12.7,8%,2015
86,University of Notre Dame,United States,43.3,51.4,38.5,90,56.5,11829,13.8,10%,2015
88,Tufts University,United States,43.6,51.1,33.9,92.9,56.4,10410,10,14%,2015
88,"University of California, Irvine",United States,39.5,56.1,41.7,89.5,56.4,26614,16.1,16%,2015
90,Ghent University,Belgium,42.5,49.1,51.6,73.8,56.2,32166,34.1,9%,2015
91,University of Massachusetts,United States,44.8,40.3,49.1,78.7,56.1,56959,13,11%,2015
92,University of Pittsburgh,United States,45.2,32.2,46.3,84.4,56.1,26485,5.8,10%,2015
93,Emory University,United States,49,42.9,32.4,89.5,55.5,12338,4.5,18%,2015
94,McMaster University,Canada,38.1,69.4,43.2,78.8,55.3,23823,19.3,15%,2015
94,University of Glasgow,United Kingdom,37,78.8,40.5,83.7,55.3,22616,16,29%,2015
96,Vanderbilt University,United States,46,28.3,38.2,87.7,55.2,12161,3.6,10%,2015
97,University of Colorado Boulder,United States,35,39.1,38.3,97.4,55.1,29325,16.1,8%,2015
98,Stockholm University,Sweden,30.1,53.2,45,90.9,54.6,31715,23.7,8%,2015
99,Technical University of Munich,Germany,45.6,64,37.4,78.8,54.6,35565,31.5,20%,2015
100,Uppsala University,Sweden,40.2,57.5,53,70.9,54.6,25266,18.2,12%,2015
