world_rank,university_name,country,teaching,international,research,citations,total_score,num_students,student_staff_ratio,international_students,year
1,California Institute of Technology,United States,95.6,64,97.6,99.8,95.2,2243,6.9,27%,2016
2,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,94.2,19919,11.6,34%,2016
3,Stanford University,United States,92.5,76.3,96.2,99.9,93.9,15596,7.8,22%,2016
4,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,92.8,18812,11.8,34%,2016
5,Massachusetts Institute of Technology,United States,89.4,84,88.6,99.7,92,11074,9,33%,2016
6,Harvard University,United States,83.6,77.2,99,99.8,91.6,20152,8.9,25%,2016
7,Princeton University,United States,85.1,78.5,91.9,99.3,90.1,7929,8.4,27%,2016
8,Imperial College London,United Kingdom,83.3,96,88.5,96.7,89.1,15060,11.7,51%,2016
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77,97.9,95,91.1,88.3,18178,14.7,37%,2016
10,University of Chicago,United States,85.7,65,88.9,99.2,87.9,14221,6.9,21%,2016
11,Johns Hopkins University,United States,77.6,70,90.4,98.2,87.6,15128,3.6,23%,2016
12,Yale University,United States,86.5,64.3,87.8,97.2,87.4,11751,4.4,20%,2016
13,"University of California, Berkeley",United States,80.4,61.9,91.1,99.7,87.2,36186,16.4,15%,2016
14,University College London,United Kingdom,78.1,94.4,91,94.2,87.1,26607,10.7,46%,2016
15,Columbia University,United States,85.9,73.5,82.2,98.1,86.1,25055,5.9,28%,2016
16,"University of California, Los Angeles",United States,80.8,56.4,88.6,98.5,85.8,38206,10.3,15%,2016
17,University of Pennsylvania,United States,82,49.5,86.9,98.6,85.2,20376,6.5,20%,2016
18,Cornell University,United States,77.9,63.9,86.1,97.2,84,21424,10.2,19%,2016
19,University of Toronto,Canada,75.9,77.8,89.3,90.9,83.9,66198,19.5,15%,2016
20,Duke University,United States,76,56.5,78,99,82.7,15172,4.8,17%,2016
21,University of Michigan,United States,76.8,53.7,85.2,94.4,82.4,41786,9,16%,2016
22,Carnegie Mellon University,United States,67.4,57.1,88.8,99.1,82.3,11885,13.1,35%,2016
23,London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,81.3,8200,10.5,12%,2016
24,University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,80.3,25774,14.1,36%,2016
25,Northwestern University,United States,69.8,53.9,78.4,96.5,79.5,18334,13.8,15%,2016
26,National University of Singapore,Singapore,71.7,96.2,84.5,79.4,79.2,31592,15.5,34%,2016
27,King’s College London,United Kingdom,64.5,93.8,75.8,93.8,78.2,21394,11.4,37%,2016
28,Karolinska Institute,Sweden,60.6,73.1,81.1,92.2,77.5,7774,11.5,22%,2016
29,LMU Munich,Germany,70.5,62.8,77.4,85.7,77.3,35691,15.5,13%,2016
30,New York University,United States,74.7,49.3,72.3,95.3,77.2,42056,6.8,19%,2016
31,École Polytechnique Fédérale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,76.1,9666,10.5,54%,2016
32,University of Washington,United States,67.1,51.2,70,98.6,75.6,44020,11.8,13%,2016
33,University of Melbourne,Australia,62,87.1,75.5,86.6,75.4,40128,23.7,35%,2016
34,University of British Columbia,Canada,60.2,90.5,73.2,91.5,75.3,50152,17.6,25%,2016
35,KU Leuven,Belgium,59.9,68.6,76.9,87.3,74.8,42503,41.9,18%,2016
36,University of Illinois at Urbana-Champaign,United States,64.5,45.8,81.2,86.8,74.5,42727,18.7,20%,2016
37,Heidelberg University,Germany,68.8,62.8,69.6,88.2,74.4,28881,24.5,17%,2016
38,McGill University,Canada,66.1,85.5,72.1,78.9,72.6,31326,13.7,23%,2016
39,"University of California, San Diego",United States,56.9,42.9,69.8,98.7,72.2,27233,6.5,11%,2016
40,"University of California, Santa Barbara",United States,52.6,61.5,66,99.2,72.2,22020,27.3,11%,2016
